objectid,filename,title,format,description,culture,date,subject,original medium,location,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,,,,,,,,
pendant_scytho_sarmatian,DP-26511-001.jpg,Pendant ,image/jpg,"Digital surrogate of metalwork, this item is a gold pendant featuring a reclining horse with chainlinks attached to its mane terminating in carnelian gems with gold discs attached to them. The body of the horse is textured in debossed dots, and there seems to have been some previous attachment on the bottom and rear of the horse.",Scytho-Sarmatian,0400 - 0200 BCE,metalwork; Scythian; Sarmatian; jewelry; Steppes; animals,"gold, carnelian",Eurasian steppes,The MET,George D. Pratt,Pendant - Scytho-Sarmatian,33.80.1,S-0110,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
plaque_scytho_sarmatian,DP-31067-001.jpg,Plaque,image/jpg,"Digital surrogate of metalwork, this plaque depicts a creature in some kind of landscape made up of embossed triangles and squares. There is a radial of these triangles around the neck of the creature. The embossed creature has hooves, a curled tail at the end, antlers, and the head is looking backwards with its mouth open. There are two curved lines protruding from its back and diagonal lines connect its torso to its back legs.",Scytho-Sarmatian,0500 - 0300 BCE,metalwork; Scythian; Sarmatian; Steppes; animals,gold,Eurasian steppes,The MET,George D. Pratt,Plaque_Scytho-Sarmatian,33.80.5,S-0120,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
dress_ornament_scythian,DP-27048-001.jpg,Dress Ornament,image/jpg,"Digital surrogate of metalwork, this item seems to depict an Eurasian elk in gold. The animal holds its held aloft, standing tall, with its antlers spreading behind it over its back. This would have been used as a dress ornament, which would likely have been attached directly to the dress.",Scythian,0500 - 0400 BCE,metalwork; Scythian; jewelry,gold,Northern Black Sea Region ,The MET,Alexandre Merle de Massoneau,Dress Ornament,24.97.55,S-0130,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
coat_sogdian,1996.2.1_web.jpg,Child's Coat with Ducks in Pearl Medallions,image/jpg,"Digital surrogate of textile. This item is a richly woven coat is woven in five colours, the base being in red with green and blue roundels featuring twin ducks in reds, yellows, blues, and whites. Plus-sign shaped embellishments in red, blue, and yellow decorate the space between. The outer coat is made of silk, and the pearl roundels are characteristic of Sogdian silks. The inner lining is from China and is made of twill damask with a floral pattern. This was likely made for a Tibetan prince.",Sogdian,0700 CE,textile; Sogdian; animals,silk; weft of twill,Uzbekistan,Cleveland Museum of Art,"Sarah Tremayne, J.H.Wade Fund",Child's Coat,1996.2.1,S-0140,Public Domain,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",Image;StillImage,"eng, mandarin",,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
animal_belt_koban,1988.71_web.jpg,Running Animals Belt,image/jpg,"Digital surrogate of metalwork. This belt features running animals that were punched with a fine tool, rather than drawn, a technique used around 1000 BCE.",Koban,1000 BCE,metalwork; Koban; bronze; animals,bronze,Middle East,Cleveland Museum of Art,Atlantis Antiquities,Running Animals Belt,1988.71,S-0150,Public Domain,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
